baseline_name,category,status,existing_evidence_source,matched_existing_method,faithful_to_paper,needs_new_run,needs_external_code,recommended_action,reviewer_risk_if_missing,implementation_difficulty,expected_cost,memory_accounting_requirements,fair_adaptation_requirements,notes
Fine-tuning / None,A mandatory,already covered,paper_ready_stats/tables/table_3_ablation.csv; paper_ready_stats/tables/table_validity_audit.csv,classifier_real_only,yes for no-replay/fine-tuning baseline,NO,NO,"Use as the None/fine-tuning baseline, and label it as no replay rather than an external paper baseline.",High if omitted; low if reported clearly with the existing ablation row.,none,none,"Report model memory only; no replay buffer, logits, generator, or exemplars.","Same class stream, random task ordering, seeds 42-46, MLP backbone, AdamW, incremental scaler.",K is irrelevant because no replay memory is used.
Joint / offline upper bound,A mandatory,missing,Only literature/reference values appear in notebooks; no trusted per-seed exact-protocol result table.,,not applicable,YES,NO,Implement a same-MLP offline upper bound trained on all classes or cumulative data under the exact split; keep it out of memory-budget fairness claims.,Medium-high because reviewers often expect an upper bound.,low-medium,moderate GPU; usually cheaper than GAN baselines,Mark as offline upper bound; do not compare as memory-limited CL.,"Use identical train/test split, class order, classifier backbone, optimizer, metrics, and seeds.",Published Joint numbers must not be copied into the main comparison table.
Experience Replay / ER,A mandatory,partially covered,paper_ready_stats/tables/table_3_ablation.csv; paper_ready_stats/tables/table_validity_audit.csv,real_buffer_only,partial,YES,NO,"Run canonical ER with random/reservoir real replay and no generated replay, KD, prototype alignment, or diversity selection.",High because ER is the core replay comparator.,low-medium,moderate GPU,"Count exemplar feature memory, labels, and model memory; no generator or logits.",Use same K as official comparisons: EMBER K=100 and AZ-Class K=200; also optional memory-efficient K=25/K=100.,"Existing real_buffer_only flags: {'use_diversity_buffer': ['True'], 'use_kd': ['True'], 'use_proto_align': ['True'], 'gan_train_on_real_buffer': ['False']}. This is useful ablation evidence but not clean canonical ER."
Pure generated replay,A mandatory,already covered,paper_ready_stats/tables/table_3_ablation.csv; paper_ready_stats/tables/table_4_component_effects.csv,wgan_projection_generated_only,yes as internal pure generated replay; no as faithful MalCL,NO,NO,Use as the internal generated-only replay baseline and drift comparator.,Medium-high for replay-drift claims; currently covered.,none,none,Count generator/model memory and generated replay artifacts if retained; no real replay buffer.,Do not relabel this as MalCL; it is the project's WGAN-GP/projection generated-only ablation.,This baseline directly supports the real-anchor replay-drift claim.
MalCL faithful,A mandatory,needs faithful reproduction,paper_ready_stats/tables/table_3_ablation.csv; baseline_reference_pack/papers/malcl_2025.pdf,malcl_like,partial,YES,"YES, unless reimplemented locally from the paper",Treat malcl_like as an internal baseline; reproduce faithful MalCL if reviewers require the closest malware-specific generative replay competitor.,Medium-high because MalCL is the closest generative replay paper.,medium-high,high GPU if full GAN reproduction is required,"Count generator, discriminator/critic if retained, replay sample storage, classifier/model memory, and any selection state.","Use the same class stream, seeds, metrics, MLP-vs-CNN adaptation disclosure, and no copied published numbers.","Internal malcl_like uses BCE standard conditional GAN + FML + L1 class mean selection, but it is not a verified external code reproduction."
DER++,A mandatory,missing,baseline_reference_pack/papers/der_2020.pdf; no exact-protocol results under result/final-run/,,no current reproduction,YES,NO for a local custom runner; optional to consult Avalanche/Mammoth,"Implement and run DER++ with replay buffer, stored logits, replay CE, and logit MSE.",High for generic continual-learning reviewers.,medium,moderate-high GPU,"Count exemplar features, labels, stored logits, and model memory.",Use same stream/order/seeds/backbone/optimizer/epochs/metrics; paired tests only with matching seeds.,DER++ is the first new baseline to prioritize.
MADAR,A mandatory,needs external code,baseline_reference_pack/papers/madar_2025.pdf; no local MADAR source detected,,no current reproduction,YES,YES,"Integrate MADAR source only after explicit approval; adapt to EMBER/AZ class stream, memory budgets, and output schema.",High because it is a malware-specific replay comparator.,high,high GPU and integration time,"Count replay feature memory, labels, family dictionaries/selection state if material, and model memory.","Use class-incremental setting, same family/task split, K budgets, seeds, and no copied published numbers.",Do not clone or download until explicitly approved.
iCaRL,B strong recommended,missing,baseline_reference_pack/papers/icarl_2017.pdf,,no current reproduction,OPTIONAL,NO if adapted locally,"Scaffold optional runner; run if GPU time remains after DER++, MADAR, ER, Joint, and MalCL decision.",Medium.,medium,moderate GPU,"Count exemplars, labels, prototype/class-mean state if stored, and model memory.",Adapt herding/prototype classification to tabular EMBER/AZ features and same seeds.,Classic class-incremental exemplar baseline.
LwF,B strong recommended,missing,baseline_reference_pack/papers/lwf_2016.pdf,,no current reproduction,OPTIONAL,NO if adapted locally,Scaffold optional runner; consider as replay-free distillation comparator.,Medium-low if DER++ and MADAR are present.,low-medium,moderate GPU,Count previous model/teacher checkpoint memory if retained; no exemplars.,Use same MLP and old-task logit distillation on new-task data.,Useful if reviewer asks for replay-free distillation.
EWC,B strong recommended,missing,baseline_reference_pack/papers/ewc_2017.pdf,,no current reproduction,OPTIONAL,NO if adapted locally,Scaffold optional runner; lower priority than replay baselines.,Medium-low.,medium,moderate GPU plus Fisher estimation,Count Fisher/importance tensors and previous parameter snapshot memory.,Estimate Fisher at task boundaries using the same classifier and data stream.,"Canonical regularization baseline, often weaker in Class-IL but useful for coverage."
FreeMOCA,B strong recommended,literature-only,baseline_reference_pack/papers/freemoca_2026.pdf,,no current reproduction,OPTIONAL,YES,Discuss as recent malware-specific replay-free work unless GPU/integration time permits exact-protocol reproduction.,Medium novelty risk because it is recent and malware-specific.,high,high integration and validation cost,Count any checkpoint/model-interpolation state; no replay buffer if faithful.,Do not compare published numbers directly; reproduce under the same EMBER/AZ stream if used numerically.,Strong related work and novelty-risk paper; not part of minimal Q1 numeric suite unless reproduced.
GDumb,C optional,literature-only,baseline_reference_pack/papers/gdumb_2020.pdf,,no current reproduction,OPTIONAL,NO if adapted locally,Keep as optional memory-only sanity baseline; not central to replay-drift hypothesis.,Low.,low-medium,moderate GPU if trained from scratch after each task,Count stored samples and labels; model trained from memory at test/update time.,Use the same K and class stream if run.,"Optional, not required for a lean Q1 response."
SI,C optional,related-work-only,Mentioned in DER/Avalanche ecosystem; no standalone reference paper supplied in pack.,,no current reproduction,NO,NO,Do not prioritize unless reviewers explicitly ask for additional regularization baselines.,Low if EWC/LwF are discussed or scaffolded.,medium,moderate GPU,Count parameter-importance state if implemented.,Same stream and MLP if ever run.,Optional baseline inflation is not recommended.
Avalanche / Mammoth,framework reference,related-work-only,baseline_reference_pack/papers/avalanche_2023.pdf; baseline_reference_pack/code_links/baseline_code_links.md,,not a baseline,NO,NO,"Use only as implementation reference for DER++, ER, EWC, LwF, and iCaRL.",Low.,none,none,N/A,Do not add framework dependency unless it simplifies exact-protocol reproduction.,Framework references should not appear as competitors.
