dataset,seed,k_level,K,source_provenance,fidelity_classification,source_path,result_sha256,task_matrix_sha256,environment,gpu,runner_family
ember,47,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/low_k25/ember/seed_47,100dfcf34853e3065e61ac5d4a9121a0548d8fe8f19ff398449f8208aa336cda,52f9c973001e544963621e553a9691bb562a187006975b0596743a4ff50957e3,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,48,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/low_k25/ember/seed_48,2560c3db4f74030324676292e0a0a0cce8076f055ba62546b97d4834af5d0a04,5fd158d0c6f04444f473c26920a4ccaaadb1b523c9a2101445a65425099e824c,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,49,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/low_k25/ember/seed_49,24bb77f9531baf24a78e1f727a70a10fb0d6981a10e141a9883602661e1983fc,9c5fd62515e7c28c9c2565d3e81a2385f437aded6a18a5ba15b2948b2a38c3fb,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,50,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/low_k25/ember/seed_50,94729e67f4b572970cc7c2c90354b4648483ff68c8b828d6c198c691dbd252c3,b1c9e325362c9460ecaa8fc56fbc5ad1e5b44167138a2e6505f968f2eef4fef7,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,51,LOW,25,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/low_k25/ember/seed_51,0913b237ac58b85b28098907c86d6fdeae627ea0e9d96764da905125514e4e84,6bf5ce0a099752bf070f02c12b920966830fbe8401cab20e10550f563c936649,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,42,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_42,eec98d23dc2d870a30f48f53ad571a81d47245557db00fe402cc565b0ebd018b,853ee54ecba0a3e5367591839e0cdf319bf65b53312a155b7355faeb690504a8,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,43,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_43,941dcac5a271756d1b53ee8339ac907329550f58742a5166be5fbddb301ecc64,5eda2da4c78b44766bc41569abf94f1f3bef5b21eaea9cd4d5562e72effedb4d,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,44,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_44,2dea98bea542073da5f7bc1ee11d5616e8b3f4436d4c4432ca8d001653dc7fe1,158ba0525bf3beaeec46304ecba625ad7edbd008fa8b33946c3eac8857af2185,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,45,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_45,92f0c242ef201813ce36f5b745085ec81c408a817ea45679973f54af27f2a63c,a556fb262c2c5d84c3d68ea9fecc72220072cf7409e867e68511f6c5fac1a291,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,46,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_46,87eb9b7d7d28a5c0774fd305d66818929dafff62fccccf44843efb737da96ba9,4d54513084c41cffded5e179e95def9e513689eee3e74599819cb01ce95ef949,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,47,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_47,9b91d529e8e814a2fbaf4e70273c7402fcd00ef90d2f1a350fc8c2a7bd1e4b71,64b49a2d9613e3b7b86ee4cf2851620651d242a142a1663a718788064ae16724,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,48,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_48,eeaf5ad7381723520353dbcd9aa2f1bf9761bf28aa6c683f2c15fcb26f8eabc9,21aa75ad20192852f2980f6b8deddc9ae8c56c54133612de8b29b1245e779f30,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,49,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_49,cd10ce47a89dd534bc216fd4f5cd455b370647474dca9b65579cf0353b21e308,5dd009bb5240f06b05744db596eca69b9556a298f8bdab5530fed2b83a0b8459,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,50,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_50,a64c125832d1ef5d38734e33f2bc96878c6f34ffe7f4d41cc7ed894743a22175,63ed0fb9ee8ae383e3bb8e5b5b37db0fa102d30b29a3d04c0f5b1b6d2deea25a,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
ember,51,HIGH,200,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/high_k200/ember/seed_51,be79797814dcced4340aad8c85b2dc92ad561c59d5658201e54c9029af7cc23b,cd0785348a7aeafbf9d1e90638d24121557180b7db2c03281c0779a3a0091ce6,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
az_class,47,LOW,100,NEW_T4,NEW_V15_5_FAITHFUL_T4,paper_ready/AHR_MalCL_V15_5_K_SENSITIVITY_FINAL_60_ANALYSIS/_extracted_new_results/AHR_MalCL_V15_5_K_SENSITIVITY/runs/low_k100/az_class/seed_47,d5b79e7b5f8d40e964149db8de8c6de1a4ff2ca7cddc2b3f94f741891d0d69c6,25851d5719377b48809f838373a86f306117d2bdf9c3bbae4b0f8bab551f51a7,Tesla T4 | Python 3.12.13 | PyTorch 2.11.0+cu128 | CUDA 12.8,Tesla T4,V15.5 Standard-A Full-Hybrid K runner
