category,item,expected,observed,status,severity,evidence,action
dataset,EMBER shapes,"train 303331x2381; test 33704x2381","Final runner encodes and validates expected shapes",PASS,none,"run_final_malcl_baseline.py EXPECTED_SHAPES and validate_datasets","Keep validation enabled before training"
dataset,AZ-Class shapes,"train 257023x2439; test 28559x2439","Final runner encodes and validates expected shapes",PASS,none,"run_final_malcl_baseline.py EXPECTED_SHAPES and validate_datasets","Keep validation enabled before training"
dataset,Labels and class count,"labels 0-99; 100 classes","Final runner validates min label 0, max label 99, unique count 100",PASS,none,"run_final_malcl_baseline.py validate_datasets","Keep validation enabled before training"
dataset,Local direct data reload,"Directly inspect local .npz files","Large datasets are expected on Colab/Drive and were not reloaded locally in this audit",CAVEAT,low,"final_malcl_baseline_colab_one_cell.py copies from Drive data directory","Colab runner must complete dataset validation before training"
dataset,Stale AZ feature constant,"AZ-Class feature_dim 2439","An older helper in baseline_suite/data_adapter.py contains stale AZ feature_dim 1789",CAVEAT,low,"baseline_suite/data_adapter.py; final runner uses 2439","Do not use stale helper as final MalCL authority"
task,Task count,"Exactly 11 tasks","Final runner builds one 50-class task plus ten 5-class tasks",PASS,none,"run_final_malcl_baseline.py task_splits","No action needed"
task,Task sizes,"Task 0 has 50 classes; tasks 1-10 have 5 classes","Final runner implements [50] + [5]*10",PASS,none,"run_final_malcl_baseline.py task_splits","No action needed"
task,Seen-class evaluation,"Evaluate after each task on all seen classes","Final runner evaluates task ranges up through the current task after each task",PASS,none,"run_final_malcl_baseline.py evaluate_seen call","No action needed"
seed,Seed set,"Seeds exactly 42-51","Final runner uses list(range(42,52))",PASS,none,"run_final_malcl_baseline.py SEEDS","No action needed"
seed,Run count,"10 seeds per dataset; 20 total runs","Final runner creates dataset x seed jobs for EMBER and AZ-Class",PASS,none,"run_final_malcl_baseline.py run_jobs","No action needed"
class_order,Order rule,"numpy.random.RandomState(seed).permutation(100)","Final runner uses required rule",PASS,none,"run_final_malcl_baseline.py build_class_order","No action needed"
class_order,Seed 42 first ten,"[83, 53, 70, 45, 44, 39, 22, 80, 10, 0]","Final runner validates this exact prefix",PASS,none,"run_final_malcl_baseline.py EXPECTED_SEED42_FIRST10","No action needed"
class_order,Phase 9C pilot,"Same class order as AHR/ER/DER++","Phase 9C limited pilot used wrong class order and was not paired-comparison ready",SUPERSEDED,medium,"phase9c pilot artifacts","Do not use Phase 9C pilot as final evidence"
class_order,Phase 9D pilot,"Same class order as AHR/ER/DER++","Phase 9D one-seed pilot matched AHR class order exactly",PASS,none,"phase9d one-seed pilot artifacts","Use as correction evidence only"
training,Epochs per task,"3 epochs per task","Final runner and Colab one-cell default to MALCL_EPOCHS=3",PASS,none,"run_final_malcl_baseline.py and final_malcl_baseline_colab_one_cell.py","No action needed"
training,GAN/classifier epoch controls,"GAN and classifier both follow intended epoch setting","One shared MALCL_EPOCHS controls both GAN and classifier updates in the task loop",PASS_WITH_CAVEAT,low,"run_final_malcl_baseline.py training loop","Document that controls are shared rather than separate"
training,Separate epoch controls,"Separate GAN_EPOCHS and CLF_EPOCHS if needed","Current runner exposes only MALCL_EPOCHS",CAVEAT,low,"run_final_malcl_baseline.py config","Accept if both paths remain 3 epochs; add separate controls only if future ablations require it"
training,Batch size,"256","Final runner defaults to 256",PASS,none,"run_final_malcl_baseline.py BATCH_SIZE","No action needed"
training,Generator loss,"FML","Final runner defaults to FML",PASS,none,"run_final_malcl_baseline.py GENERATOR_LOSS","No action needed"
training,Sample selection,"L1_C_Mean","Final runner defaults to L1_C_Mean",PASS,none,"run_final_malcl_baseline.py SAMPLE_SELECT","No action needed"
training,k,"3","Final runner defaults to k=3",PASS,none,"run_final_malcl_baseline.py MALCL_K","No action needed"
faithfulness,Official reproduction label,"Do not call exact official reproduction unless unchanged","Final implementation contains protocol and runtime adaptations",DEVIATION,medium,"patched_malcl/models.py compared with MalCL_official/MalCL_torch/models.py","Label as protocol-matched adapted MalCL baseline"
faithfulness,Feature dimension,"Official code hard-codes 2381","Patched code parameterizes feature_dim for EMBER and AZ-Class",DEVIATION,medium,"patched_malcl/models.py Generator Discriminator Classifier","Document in paper/report"
faithfulness,Discriminator head,"Official FC head consumes 256*feature_dim","Feature-dimension-parameterized flattened discriminator consumes 256*feature_dim and returns the full flattened feature vector",PASS,none,"patched_malcl/models.py Discriminator; final-run memory_accounting.json","Retain topology verification test and document feature_dim parameterization"
faithfulness,Classifier changes,"Official classifier is fixed-input/fixed-output","Patched classifier parameterizes input/output and adds expansion helpers",DEVIATION,medium,"patched_malcl/models.py Classifier","Document as adaptation"
faithfulness,Replay/sample-selection,"Official sample-selection script unchanged","Final runner adapts/reimplements replay selection for protocol integration",DEVIATION,medium,"run_final_malcl_baseline.py select_replay","Document as adaptation"
faithfulness,Update loop,"Official MalCL training script order","Final runner uses consolidated protocol-specific task loop and update order",DEVIATION,medium,"run_final_malcl_baseline.py training loop; MalCL_official train.py","Document as adaptation"
decision,Final decision,"Ready only if protocol matched","Protocol matched with documented implementation deviations",PROTOCOL_MATCHED_WITH_DOCUMENTED_DEVIATIONS,medium,"This audit","Proceed with run using adapted-baseline wording"
